,1,2,3,4,5,6,clone,day,donutFrac,n,nNotDonut,replicate
0,0.300541516,0.322202166,0.229241877,0.114620939,0.022563177,0.010830325,B2,0d,0.011355035,1321,1108,1
9,0.423387097,0.262096774,0.185483871,0.100806452,0.02016129,0.008064516,B3,0d,0.05855856,311,248,1
16,0.456928839,0.31835206,0.142322097,0.063670412,0.011235955,0.007490637,L2.5,0d,0.03658537,324,267,1
26,0.619607843,0.223529412,0.098039216,0.035294118,0.015686275,0.007843137,L2.8,0d,0.06060606,299,255,1
31,0.303571429,0.294642857,0.169642857,0.160714286,0.035714286,0.035714286,P2.3,0d,0.15217391,137,112,1
40,0.39722864,0.32101617,0.19861432,0.05773672,0.02078522,0.00461894,P2.4,0d,0.09515571,578,433,1
48,0.266055046,0.293577982,0.235474006,0.122324159,0.064220183,0.018348624,S2,0d,0.08839779,407,327,1
57,0.326370757,0.349869452,0.182767624,0.083550914,0.046997389,0.010443864,S3,0d,0.07535121,446,383,1
65,0.55686275,0.23137255,0.13856209,0.05620915,0.01699346,0,UI,0d,0.07000548,928,385,1
79,0.591397849,0.188172043,0.155913978,0.037634409,0.016129032,0.010752688,W1.4,0d,0.06802721,207,186,1
86,0.231053604,0.295748614,0.271719039,0.121996303,0.06284658,0.01663586,W2.6,0d,0.13671875,687,541,1